 Literature in English: Text and Context,Wibke Schniedermann,5,A006662
(Crisis)communicatie,Marc Sabbe,4,D013175
(Kinder)psychiatrie,Gilbert Lemmens,3,D012264
(Neuro)pediatrie,SOPHIE VANHAESEBROUCK,4,D012254
(Neuro)pediatrie,SOPHIE VANHAESEBROUCK,3,D013675
3D Digital Rocks,Tom Bultreys,3,C003727
3D archeologische acquisitie,Alain De Wulf,3,A005032
3D data-acquisitie,Greet Deruyter,6,E775000
3D-acquisitie en -modellering,Alain De Wulf,5,C004180
3D-printing in de tandheelkunde,Maarten Glibert,4,D013742
AI Research Seminar,Tijl De Bie,3,E031800
AI: Law and Ethics ,Griet Verhenneman,4,B001863
Aanvullende stage huisartsgeneeskunde,Peter Decat,3,D012977
Aanvullingen biochemie,Kathy Messens,5,I700229
"Aanvullingen in anesthesie-reanimatie, deel 1",Anneliese Moerman,6,D002462
"Aanvullingen in anesthesie-reanimatie, deel 2",Luc De Baerdemaeker,6,D002693
Aanvullingen in cardiologie,FRANK TIMMERMANS,6,D002688
Aanvullingen in de fysiologie en de fysiopathologie van de mens,Patrick Wouters,6,J000258
Aanvullingen in de medische chemie,Stijn Lambrecht,8,J000094
Aanvullingen in de toxicologische chemie,Christophe Stove,3,J000199
Analyse: functies van één variabele ,Jan Baetens,5,I002907
Analysetechnieken,Frank Vanhaecke,3,E071031
Analysis of Clustered and Longitudinal Data,Johan Steen,5,C003398
Analysis of Continuous Data,Els Goetghebeur,6,C004078
Analysis of High Dimensional Data,Lieven Clement,5,C003549
Analysis of Repeated Measures,Dries Debeer,6,H001997
Analysis of Structures,Andrea Franchini,3,E051511
Analytical Biochemistry,Els Van Damme,5,C004085
Analytical Customer Relationship Management,Dirk Van den Poel,8,F000881
Analytical Customer Relationship Management,Dirk Van den Poel,6,F000712
Analytical Methods for Material Characterization,Mieke Adriaens,9,C004155
Analytical Raman Spectroscopy,Peter Vandenabeele,3,C004160
Analytisch boekhouden en kostencalculatie,Sophie Hoozée,5,F000853
Analytisch boekhouden en management accounting,Sophie Maussen,4,F000992
Analytische biochemie,Bart Devreese,3,C004097
Analytische chemie,Mieke Adriaens,7,C002138
Analytische chemie,Pieter Vermeir,6,E721026
Analytische chemie,Mieke Adriaens,5,C002140
Analytische chemie,Ann Dumoulin,5,I610023
Analytische chemie,Pieter Vermeir,6,I700216
Advanced Financial Statement Analysis,Heidi Vander Bauwhede,6,F000694
Advanced Human Genetics,Sofie Symoens,6,D012701
Advanced Imaging and Image Analysis,Marleen Van Troys,5,D012702
Advanced Instrumental Techniques for Chemical Analysis,Laszlo Vincze,3,E070650
Advanced Investment Analysis,Michael Frömmel,4,F000943
Advanced Linear Process Control,Clara Ionescu,6,E032600
Advanced Macromolecular Chemistry,Filip Du Prez,6,C004126
Advanced Marketing and Agribusiness Management,Hans De Steur,5,I002763
Advanced Methods for Rehabilitation of Cardiovascular Disorders,Véronique Cornelissen,3,D013230
Advanced Methods for Rehabilitation of Respiratory Disorders,Thierry Troosters,3,D013231
Advanced Micropaleontology,Stephen Louwye,6,C002633
Advanced Modelling and Simulation of Pharmaceutical Systems,Thomas De Beer,5,J000524
Advanced Modulation and Coding,Heidi Steendam,4,E012210
Advanced Mycology,Annemieke Verbeken,5,C004580
Advanced Numerical Methods,Julian Köllermeier,6,C004011
Advanced Organic Chemistry,Annemieke Madder,6,C004125
Advanced Plant Biotic Interactions,Bartel Vanholme,3,C003618
Advanced Plant Cell Biology and Signaling,Daniël Van Damme,3,C004006
Advanced Polymer Chemistry,Filip Du Prez,3,C002965
Advanced Practice in de verpleegkunde/vroedkunde/GGZ verpleegkunde,Tina Vandecasteele,3,D013198
Advanced nurse led care voor de verpleegkundig specialist  in de algemene gezondheidszorg,Ann Van Hecke,4,D013397
Advanced nurse led care voor de verpleegkundig specialist  in de geestelijke gezondheidszorg,Eddy Deproost,4,D013398
Advances in Psycholinguistics,Robert Hartsuiker,3,H002369
Aeroplanes,Benoît Marinus,3,E061960
African Archaeology,Peter Coutros,5,A005330
"Afrika: actualiteit, discours en beeldvorming",Inge Brinkman,5,A005327
Afrikaans: Taal- en letterkunde,Timothy Colleman,5,A005792
Afrikaanse historische taalkunde,Koen Bostoen,5,A005309
Afstudeerstage gezelschapsdieren,Ingeborgh Polis,9,G000895
Afstudeerstage herkauwers,Lieven Vlaminck,9,G000902
Afstudeerstage paard,Katrien Smits,9,G000899
Agrarische constructies,Jan Pieters,5,I002643
"Agricultural and Rural Policy, EU Perspective",Jeroen Buysse,5,I002650
Agro-ecologie,Eduardo de la Pena,3,I700256
Agrobiotechnologie,Stefaan Werbrouck,4,I700238
Agroecology,Eduardo de la Pena,5,I003066
Agronematologie,Wim Wesemael,5,I002733
Air Pollution and Chemical Transport Models (CTM),Clemens Mensink,3,C002866
Air Treatment and Technology,Serge Zhuiykov,5,O000171
Air and Space Law,Mia Wouters,4,B001765
Actuele sport- en bewegingsactiviteiten ,Frederik Deconinck,3,D013523
Actuele vraagstukken van de internationale politiek,Thijs Van de Graaf,3,K001258
Actuele vraagstukken van de lokale politiek,Koenraad De Ceuninck,6,K000431
Advanced AI for Bioinformatics,Willem Waegeman,6,C004612
Advanced Academic English,Geert Jacobs,3,A003107
Advanced Aquaculture Techniques,Annelies Declercq,6,I003025
Advanced Asset Allocation,Koen Inghelbrecht,4,F000789
Advanced Biomolecular 3D-structure Determination by X-ray Crystallography and Cryo-Electron Microscopy,Kenneth Verstraete,3,C004455
Advanced Biostatistics,Carl Vangestel,5,C003345
Advanced Biosystems Modelling,Paul Van Liedekerke,5,I003021
Advanced Biotherapies,Koen Raemdonck,3,J000447
Advanced Cell Biology,Geert van Loo,5,C003306
Advanced Corporate Finance,Tom Vanacker,6,F000693
Advanced Course on Human Rights,José Gustavo Prieto Munoz,6,B001802
Advanced Drug Analysis and Quality,Evelien Wynendaele,4,J000444
Advanced Econometrics: Non-Linear Methods,Gerdie Everaert,6,F000687
Advanced European Criminal Policy,Gert Vermeulen,9,B001778
Advanced Fibre Technology,Takeshi Kikutani,3,E064821
Academische en professionele vaardigheden ,Tom Verhelst,6,K001402
Academische praktijk,Damien Decorte,0,F000928
Academische stage,Jasson Vindas Diaz,6,C004551
Academische vaardigheden,Jan De Houwer,4,H002120
Academische vaardigheden I,Roald Docter,3,A003312
Academische vaardigheden II,Roald Docter,3,A003313
Academische vaardigheden III: Bachelorproef,Hans Vandendriessche,10,A005580
"Academische zoek-, lees- en schrijfvaardigheden ",Fien De Smedt,3,H002520
Accounting (A),Patricia Everaert,4,F000294
Accounting (B),Patricia Everaert,4,F000312
Accounting Box of Knowledge,Patricia Everaert,5,F000989
Accounting en auditing in de publieke en social profitsector,Johan Christiaens,5,F000819
Accounting in Practice,Eva Blondeel,3,F000872
Active Fire Protection I: Detection and Suppression,Christian Gryspeert,6,E051482
Active Fire Protection II: Smoke and Heat Control,Bart Merci,6,E051494
Actuele aspecten van journalistiek,Marie Verstappen,7,K000299
Actuele economische uitdagingen,Freddy Heylen,3,F000980
Actuele maatschappelijke problemen,Jannick Demanet,6,K000279
Actuele maatschappelijke problemen,Jannick Demanet,3,K001363
Actuele politieke problemen,Tim Haesebrouck,4,K001053
"Aanvullingen in neurologie, deel 1",Paul Boon,6,D002547
"Aanvullingen in neurologie, deel 2",Paul Boon,6,D002729
"Aanvullingen in oftalmologie, deel 1",Bart Leroy,6,D002561
"Aanvullingen in oftalmologie, deel 2",Bart Leroy,6,D002735
"Aanvullingen in orthopedische heelkunde, deel 1",Jan Victor,6,D002568
"Aanvullingen in orthopedische heelkunde, deel 2",Jan Victor,6,D002738
"Aanvullingen in otorhinolaryngologie, deel 1",Ingeborg Dhooge,6,D002575
"Aanvullingen in otorhinolaryngologie, deel 2",Ingeborg Dhooge,6,D002741
"Aanvullingen in pathologische anatomie, deel 1",Jo Van Dorpe,6,D002582
"Aanvullingen in pathologische anatomie, deel 2",Sofie Verbeke,6,D002744
"Aanvullingen in pediatrie, deel 1",Stephanie Van Biervliet,6,D002589
"Aanvullingen in pediatrie, deel 2",Stephanie Van Biervliet,6,D002747
"Aanvullingen in plastische, reconstructieve en esthetische heelkunde, deel 1",Phillip Blondeel,6,D002596
"Aanvullingen in plastische, reconstructieve en esthetische heelkunde, deel 2",Phillip Blondeel,6,D002750
Aanvullingen in pneumologie,Veerle Surmont,6,D002753
"Aanvullingen in psychiatrie, meer bepaald in de kinder- en jeugdpsychiatrie, deel 1",Karlien Dhondt,6,D002610
"Aanvullingen in psychiatrie, meer bepaald in de kinder- en jeugdpsychiatrie, deel 2",Karlien Dhondt,6,D002756
"Aanvullingen in psychiatrie, meer bepaald in de volwassenpsychiatrie, deel 2",Gilbert Lemmens,6,D002759
Advanced Production Management,Veronique Limère,6,F000706
Advanced Quantitative Techniques,John Lievens,6,K001282
Advanced Quantum Chemistry,Patrick Bultinck,4,C004147
Advanced Radiation Protection/Radiation Ecology,Klaus Bacher,3,E038820
Advanced Railway Technology,Hendrik Bonne,3,E053643
Advanced Remote Sensing,Kim Calders,5,I003013
Advanced Sedimentology,Maarten Van Daele,6,C003337
Advanced Sedimentology,Maarten Van Daele,6,C003816
Advanced Studies in Agricultural Economics,Marijke D'Haese,7,I002804
Advanced Textile Project,Satoko Okubayashi,3,E064980
Advanced Topics in Chemistry,Klaartje De Buysser,3,C004169
Advanced Topics in Group Theory ,Tom De Medts,6,C004549
Advanced Topics in Life Sciences in Space,Sarah Baatout,4,C002839
Advanced Topics in Traffic and Logistics,Ivana Semanjski,4,E084480
Advanced Wastewater Treatment Process Design,Eveline Volcke,3,I002752
Advanced X-ray Spectroscopy,Laszlo Vincze,3,C004159
Advanced and Specialised Textile Processing - Dyeing,Karen De Clerck,3,E064452
Advanced and Specialised Textile Processing - Mechanical,Carmen Visconte,6,E064461
Advanced nurse led care voor de verpleegkundig specialist,Herlinde Wynendaele,3,D013860
Algoritmen en datastructuren 1,Veerle Fack,6,C003773
Algoritmen en datastructuren 2,Kris Coolsaet,6,C003777
Algoritmen en datastructuren 3,Kris Coolsaet,6,C003782
Algoritmisch programmeren,Pieter Leyman,6,E018321
Alternatieve communicatie,Kristiane Van Lierde,3,D001099
Alternatieve communicatie en artificiële intelligentie,Kristiane Van Lierde,3,D013714
Alternatieve conflictoplossing,Maud Piers,3,B001790
Ambulatorische kliniek en bedrijfsbegeleiding van herkauwers,Geert Opsomer,3,G000809
Analoge elektronica,Jeroen De Maeyer,6,E030210
Analoge elektronica I,Patrick Van Torre,6,E731038
Analoge elektronica II,Patrick Van Torre,6,E731039
Analoog ontwerp,Patrick Van Torre,6,E735026
Analyse I,Jasson Vindas Diaz,6,C003574
Analyse II,Hans Vernaeve,8,C003575
Analyse en berekening van elektrische energienetten,Lieven Vandevelde,6,E035010
Analyse van de jaarrekening,Patricia Everaert,4,F000991
Analyse van geneesmiddelen: de basis,Filip De Vos,4,J000479
Analyse van het creatieproces in moderne en actuele kunst: kunsthistorische en psychodynamische aspecten,Abe Geldhof,5,A002725
Analyse van organische micropolluenten,Kristof Demeestere,3,I002676
Analyse: functies van meerdere variabelen,Jan Baetens,4,I002910
"Anthropology, Africa and the Anthropocene",Nick Rahier,5,A006650
Antieke retoriek,Koen De Temmerman,5,A001887
Antropologie,Kris Rutten,4,H002481
Antropologie,Kris Rutten,5,H002380
Antropologie en etnografie in Afrika,Koenraad Stroeken,5,A005313
Applications in Analytical and Environmental Sciences,Anna Kaczmarek,6,C004154
Applications of Advanced Structural Fire Engineering,Ruben Van Coile,3,E051620
Applied Econometrics II,Sam Desiere,6,F000955
Applied Freshwater Ecology,Peter Goethals,3,I002504
Applied Geophysics,Thomas Hermans,5,C004259
Applied High Frequency Design,Guy Torfs,6,E033631
Applied High-throughput Analysis,Tim De Meyer,6,C003695
Applied Linguistics: Capita Selecta,June Eyckmans,5,A703118
Applied Magnetic Resonance Imaging Physics,Pim Pullens,3,E027762
Applied Marine Ecology ,Colin Janssen,3,I002535
Applied Neurosciences,Kristl Vonck,6,D013879
Applied Rural Economic Research Methods - Partim I,Hans De Steur,5,I002798
Applied Rural Economics Research Methods - Partim II,Jeroen Buysse,5,I002160
Applied Sports Biomechanics,Veerle Segers,4,D013132
Applied Statistic: from Basics to Regression Modelling,Dries Reynders,6,C004446
Aanvullingen in de ziekten van vogels en bijzondere dieren	 ,Frank Pasmans,3,G000881
"Aanvullingen in dermato-venereologie, deel 1",Isabelle Hoorens,6,D002476
"Aanvullingen in dermato-venereologie, deel 2",Evelien Verhaeghe,6,D002696
"Aanvullingen in fysische geneeskunde en revalidatie, deel 1",KATIE BOUCHE,6,D002483
"Aanvullingen in fysische geneeskunde en revalidatie, deel 2",KATIE BOUCHE,6,D002699
Aanvullingen in gastro-enterologie,Danny De Looze,6,D002702
"Aanvullingen in gynaecologie-verloskunde, deel 1",Steven Weyers,6,D002509
"Aanvullingen in gynaecologie-verloskunde, deel 2",Steven Weyers,6,D002711
"Aanvullingen in heelkunde, deel 1",Frederik Berrevoet,6,D002516
"Aanvullingen in heelkunde, deel 2",Frederik Berrevoet,6,D002714
"Aanvullingen in inwendige geneeskunde, deel 1",Fritz Offner,6,D002469
"Aanvullingen in inwendige geneeskunde, deel 2",Fritz Offner,6,D002717
"Aanvullingen in klinische biologie, deel 1",Katrien Devreese,6,D002530
"Aanvullingen in klinische biologie, deel 2",Katrien Devreese,6,D002720
Aanvullingen in medische oncologie,Sylvie Rottey,6,D002723
"Aanvullingen in neurochirurgie, deel 1",Edward Baert,6,D002540
"Aanvullingen in neurochirurgie, deel 2",Edward Baert,6,D002726
Algemene menselijke fysiologie,Patrick Calders,5,D000580
Algemene microbiologie,Peter Vandamme,4,C003361
Algemene microbiologie,Tom Coenye,6,J000504
Algemene microbiologie,Anne Willems,5,C002166
Algemene natuurkunde,Henk Vrielinck,6,C003607
Algemene onderzoeksvaardigheden,Michel De Paepe,3,E029700
Algemene pathofysiologie,Karen Geboes,3,D000829
Algemene pathologie,Annemie Decostere,6,G000824
Algemene psychologie,Stijn Schelfhout,5,H002473
Algemene psychologie,Wim Notebaert,5,B001629
Algemene rechtsleer,Frederik Peeraer,4,B001658
Algemene taalwetenschap I: Theorieën en methodes,Klaas Willems,5,A005794
Algemene taalwetenschap II: Taalvariatie en taalverandering,Klaas Willems,5,A005800
Algemene toxicologie,Christophe Stove,5,J000397
Algemene trainingsleer en evaluatie van conditionele eigenschappen,Jan Boone,5,D001805
Algoritmen,Pieter Simoens,6,E761042
Algoritmen en datastructuren,Tom Dhaene,6,E018310
Algoritmen en datastructuren,Jan Aelterman,6,E736030
Algoritmen en datastructuren,Frederik Gailly,4,F000888
Algoritmen en datastructuren,Veerle Fack,6,C002794
Analytische chemie,Mieke Adriaens,5,C004578
Analytische getaltheorie,Gregory Debruyne,6,C003824
Analytische kostencalculatie,Joke Huysman,4,F710225
Analytische scheidingsmethoden,Frederic Lynen,3,C003986
Anatomie en farmacologie van het centrale zenuwstelsel,Patrick Santens,3,D013671
"Anatomie en fysiologie van gehoor-, spraak- en evenwichtsorganen en craniale zenuwen",Jimmy Van den Eynden,6,D013666
Anatomie en identificatie van houtsoorten,Joris Van Acker,4,I002686
Ancient Greek Linguistics: Diachrony,Andrea Cuomo,5,A006675
Ancient Greek Linguistics: Language Variation,Andrea Cuomo,5,A005782
Animal Biology,Robin Guevarra,3,O000138
Animal Cognition,Frederick Verbruggen,4,H002440
Anorganische chemie,Isabel Van Driessche,8,J000478
Anorganische chemie,Isabel Van Driessche,5,G000710
Anorganische chemie ,Jeroen Lauwaert,6,E721039
Antennes en propagatie,Günter Vermeeren,3,E735080
Antennes en propagatie,Hendrik Rogier,6,E022230
