Bio-ethiek,Sigrid Sterckx,5,A000003
Marketing,Maggie Geuens,3,A000025
Grondige studie van vraagstukken in de kennisleer,Wim Vanrie,5,A000143
Muziekpsychologie,Pieter-Jan Maes,5,A000184
Overzicht van de historische kritiek,Margo De Koster,3,A000186
Bedrijfscommunicatie in de praktijk,Geert Jacobs,6,A000223
Wetenschapsfilosofie I,Karim Zahidi,5,A000226
Geschiedenis van België,Eline Mestdagh,5,A000256
Theorie en methodes van de literatuurgeschiedenis,Youri Desplenter,5,A000271
Grondige studie van vraagstukken uit de ethische theorievorming,Seppe Segers,5,A000281
Godsdienstgeschiedenis: Klassieke Oudheid en Vroege Christendom,Danny Praet,5,A000292
Masterproef,Geert Jacobs,15,A000337
Ontwikkeling en esthetiek van de film,Daniël Biltereyst,5,A000418
Wijsgerige antropologie,Annelies Lannoy,5,A000432
Geschiedenis van de beeldende kunst in de Nederlanden II,Koenraad Jonckheere,5,A000438
Taalverwerving Frans,Ludivine Crible,3,A000441
Inleiding tot de wereldgeschiedenis,Wouter Ryckbosch,3,A000455
Logica II,Joke Meheus,5,A000483
De literatuur van de Oudheid,Kristoffel Demoen,5,A000492
Praktijk van het moraalwetenschappelijk onderzoek,Veerle Provoost,5,A000496
Zuidoost-Europese literatuur en cultuur,Pieter Troch,5,A000543
Communicatie- en organisatiegedrag,Adelien Decramer,3,A000574
Klassieke mythologie,Nadia Sels,5,A000619
Inleiding tot het marktonderzoek,Julie Verstraeten,3,A000663
Inleiding tot de antropologie,Hugo DeBlock,3,A000677
Portugees I,Renata Enghels,5,A000692
Hedendaagse ethiek: Anglo-Amerikaanse traditie,Tom Claes,5,A000695
Logic: Capita Selecta,Joke Meheus,5,A000724
Literatuur en maatschappij,Bart Keunen,5,A000895
Wetenschapsfilosofie II,Erik Weber,5,A000911
Theory and Praxis of Discourse Analysis,Stef Slembrouck,6,A000935
Normatieve ethiek,Seppe Segers,5,A000943
Moraalwetenschap,Seppe Segers,5,A000951
Historische cartografie,Thijs Lambrecht,5,A000962
Geschiedenis van de Middeleeuwen,Jeroen Deploige,5,A000977
Grondige studie van vraagstukken in de wijsgerige antropologie,Bouke De Vries,5,A001008
Historisch overzicht van de wijsbegeerte,Maarten Van Dyck,3,A001082
Kennisleer I,Wim Vanrie,5,A001181
Bedrijfscommunicatie in het Frans,Ludivine Crible,6,A001214
Metafysica,Erik Weber,5,A001227
Kennisleer II,Pieter Beck,5,A001235
Stage,Bart Keunen,10,A001287
Romeins recht,Dirk Heirbaut,5,A001364
Inleiding tot de accountancy,Patricia Everaert,3,A001369
Wijsgerige ethiek: systematiek,Sigrid Sterckx,5,A001452
Inleiding tot het moraalwetenschappelijk onderzoek,Veerle Provoost,5,A001468
Global Ethics,Sigrid Sterckx,5,A001470
Esthetica II,Bart Vandenabeele,5,A001492
Morele ontwikkeling en opvoeding,Claudia Claes,5,A001498
Metafysica en natuurfilosofie,Maarten Van Dyck,5,A001513
Logica I,Joke Meheus,5,A001703
Business Communication in English,Geert Jacobs,6,A001706
Wijsgerige ethiek: methodiek,Sigrid Sterckx,5,A001739
Inleiding tot de voornaamste moderne literaturen,Bart Keunen,3,A001800
Theoretische geschiedenis,Berber Bevernage,5,A001819
Oudnederlands,Youri Desplenter,5,A001838
Grondige studie van vraagstukken in de wetenschapsfilosofie,Erik Weber,5,A001844
Hedendaagse ethiek: continentale traditie,Sigrid Sterckx,5,A001867
Geschiedenis en cultuur van Scandinavië,Daan Vandenhaute,5,A001871
Inleiding tot de Vlaamse Gebarentaal,Mieke Van Herreweghe,5,A001884
Antieke retoriek,Koen De Temmerman,5,A001887
Inleiding tot de psychologie,Wim Notebaert,3,A001900
Geschiedenis en cultuur van de Nederlanden,Anne-Laure Van Bruaene,5,A001901
Esthetica I,Bart Vandenabeele,5,A001974
Dramaturgie,Bram Van Oostveldt,5,A001985
Capita Selecta in Modern and Contemporary Philosophy: Analysis of Texts,Levi Haeck Gormez,5,A001994
Maritieme geschiedenis,Michael Limberger,5,A002010
Grondige studie van teksten uit de antieke en middeleeuwse wijsbegeerte,Danny Praet,5,A002019
Historische kritiek van woord en beeld in de massamedia,Margo De Koster,5,A002066
Theorieën van de cultuurgeschiedenis,Alexander Roose,5,A002079
Non-western Philosophy,Annelies Lannoy,5,A002087
Rechtsgeschiedenis,Dirk Heirbaut,5,A002115
Contrastive Linguistics: Semantics and Pragmatics,Miriam Taverniers,6,A002190
Geschiedenis van Zuidoost-Europa,Pieter Troch,5,A002197
Sociologie,Timo Van Canegem,5,A002216
Wetenschapsgeschiedenis,Pieter Beck,5,A002226
Seksualiteit en globalisering,Tom Claes,5,A002320
"Biologie, hersenen en gedrag",Robrecht Raedt,5,A002326
Bedrijfscommunicatie in het Spaans,Renata Enghels,3,A002352
Grondige studie van vraagstukken uit de moraalwetenschap,Seppe Segers,5,A002392
English Language Acquisition,Geert Jacobs,3,A002434
Numismatics and Monetary History of the Ancient World,Koenraad Verboven,5,A002540
Mondiale processen in historisch perspectief,Michael Limberger,5,A002630
Geschiedenis van de Vroegmoderne Tijd,Anne-Laure Van Bruaene,5,A002680
Historische antropologie van de Middeleeuwen en de Vroegmoderne Tijd,Jeroen Deploige,5,A002713
Inleiding tot taal- en tekststructuren,Klaas Willems,3,A002714
Culturele antropologie,Koenraad Stroeken,5,A002717
Analyse van het creatieproces in moderne en actuele kunst: kunsthistorische en psychodynamische aspecten,Abe Geldhof,5,A002725
Psychoanalyse en kunst,Abe Geldhof,5,A002726
Visuele cultuur: Kunst in historische context,Koenraad Jonckheere,3,A002874
Christendom,Danny Praet,5,A002907
Sanskrit I,Eva De Clercq,5,A002908
Sanskrit II,Eva De Clercq,5,A002909
Sanskrit III,Charles DiSimone,5,A002910
Sanskrit IV,Charles DiSimone,5,A002911
Hindi III,Daniela De Simone,8,A002914
Hindi IV,Daniela De Simone,7,A002915
Hindi V,Daniela De Simone,10,A002916
Hindi VI,Daniela De Simone,5,A002917
Religious Traditions of India,Eva De Clercq,5,A002924
Geschiedenis van China,Ann Heirman,5,A002925
History of Japan,Christian Uhl,5,A002930
Society and Current Affairs: Japan,Andreas Niehaus,5,A002931
Linguistic Research: East Asian Languages,Christoph Anderl,5,A002936
Modern Chinees III,Bart Dessein,8,A002943
Modern Chinees IV,Bart Dessein,7,A002944
Modern Chinees V,Bart Dessein,10,A002945
Stage,Marjan Sterckx,10,A002955
Historische economie,Thijs Lambrecht,5,A002959
